Designator,Mid X,Mid Y,Layer,Rotation
C1,26.67,19.431,Top,180
C2,29.591,21.971,Top,90
C4,22.1488,15.494,Top,180
C5,26.416,11.43,Top,180
C6,3.683,4.826,Top,45
D1,21.463,21.971,Top,180
D2,2.54,21.9202,Top,180
Q1,45.085,12.573,Top,180
Q2,37.465,12.573,Top,180
Q3,30.607,15.494,Top,90
Q4,16.129,4.064,Top,180
Q5,40.513,6.604,Top,0
Q6,30.353,9.906,Top,0
Q7,24.257,9.017,Top,0
Q8,19.939,8.001,Top,0
Q9,16.383,12.319,Top,90
Q10,9.4742,22.606,Top,90
Q11,16.637,21.209,Top,90
Q12,50.165,7.874,Top,90
Q13,36.195,7.493,Top,0
R1,43.053,14.986,Top,180
R2,42.037,12.573,Top,90
R3,46.99,14.224,Top,180
R4,35.56,14.859,Top,0
R5,33.147,15.748,Top,90
R6,12.573,4.953,Top,180
R7,20.066,4.064,Top,180
R8,25.4,6.604,Top,180
R9,42.418,4.191,Top,0
R10,38.481,4.064,Top,90
R11,32.258,7.493,Top,0
R12,16.256,8.001,Top,0
R13,16.256,9.398,Top,0
R14,16.383,16.129,Top,90
R15,6.35,17.653,Top,90
R16,10.033,15.24,Top,90
R17,13.208,21.717,Top,90
R18,5.715,22.098,Top,90
R19,2.413,15.113,Top,90
R20,13.97,15.748,Top,90
R21,47.498,5.969,Top,90
R22,45.847,5.969,Top,90
R23,44.069,9.525,Top,180
R24,33.909,9.906,Top,90
R25,21.717,5.334,Top,180
R26,2.28786875,9.16360625,Top,45
R27,26.162,4.572,Top,0
U1,26.67,21.971,Top,90
U3,6.223,7.62,Top,135
